country,city,address_1,reason_for_recall,address_2,product_quantity,code_info,center_classification_date,distribution_pattern,state,product_description,report_date,classification,recalling_firm,recall_number,initial_firm_notification,product_type,event_id,termination_date,recall_initiation_date,postal_code,voluntary_mandated,status,more_code_info
United States,Farmingdale,7 Michael Ave,"Presence of  foreign tablets/capsules: Ibuprofen Tablets USP, 600 mg bottles were found to contain some Ibuprofen Tablets USP 800 mg.",,"1,980 bottles",Lot #: HN7003,20170803,Nationwide U.S.A.,NY,"Ibuprofen Tablets, USP 600 mg, 500-count bottle (Capsule Shaped), Rx only, Manufactured for: Time Cap Labs, Inc., 7 Michael Avenue Farmingdale, NJ 11735, USA, Manufactured by: Marksans Pharma Ltd. Plot No. L-82, L-83 Verna Indl. Estate, Verna, Goa-403 722, India, NDC 49483-603-50",20170809,Class II,"Time-Cap Laboratories, Inc.",D-1055-2017,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,77576,20200529,20170616,11735-3921,Voluntary: Firm initiated,Terminated,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,"238,968 units",Lot #: 17223 07/19  17297 10/19  18017 01/20  18018 01/20  18065 03/21  18213 08/20  18247 10/21,20191115,U.S.A. Nationwide,NY,"CVS Health Fast Acting Lubricant Eye Drops (Polyethylene Glycol 400, 0.4% Propylene Glycol 0.3%) Dry Eye Therapy, Sterile, 0.5 fl. oz. (15 mL), Item #895160, Distributed by: CVS Pharmacy Inc., One CVS Drive, Woonsocket, RI 02895",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0387-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,"284,232 units",Lot #: RJK 10/19  SBJ 2/20  SFG 6/20  SHI 8/20  SLB 12/20  TCM 03/21  TDC 4/21,20191115,U.S.A. Nationwide,NY,"CVS Health Overnight Lubricating Eye Ointment, Sterile, Net wt. 0.125 oz. (3.5g), Item #881532, Distributed by: CVS Pharmacy Inc., One CVS Drive, Woonsocket, RI 02895",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0384-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,"1,381,638 units",17185 6/20  17228 7/20  17349 11/20  18073 3/21  18218 8/21  18303 12/21,20191115,U.S.A. Nationwide,NY,"TRP Pink Eye Relief, 10 mL, NDC 17312-013-15",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0471-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,651528 units,Lot #: RGA  7/19 7/31/2017; RGE 7/19 8/11/2017; RGG7/19 8/11/2017; RGH 7/19 8/17/2017; RHM 8/19 9/14/2017; RJB 10/19 10/23/2017; RJA 10/19 10/23/2017; SCA 3/20 3/22/2018; SIC 9/20 10/9/2018; TAP 1/21 2/26/2019; TDE 4/21 5/30/2019,20191115,U.S.A. Nationwide,NY,"Perrigo Bacitracin Ophthalmic Ointment, Net Wt. 3.5 g (1/8 oz), Rx only, Manufactured For: Perrigo Minneapolis, MN 55427, NDC 0574-4022-35",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0356-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Farmingdale,65 E Carmans Rd,"Marketed without an Approved NDA/ANDA; product contains the steroid ingredient 2, 17a-dimethyl-17b-hydroxy-5a-androst-1-en-3-one, making it an unapproved new drug",,"11,200 bottles (60 capsules per bottle) (quantities for E07Q unknown)","lot numbers: 1) M55Q (A) Exp 04/2016, 2) M55Q (2) Exp 05/16,  3)E07Q  Exp unknown",20140305,Nationwide,NY,"Super-DMZ Rx 2.0 Capsules, 60 count bottles, Dietary Supplement, Lean muscle mass, hardness and strength, Manufactured for Blackstone Labs Boca Raton, FL 33433.",20140312,Class I,Mira Health Products Ltd.,D-1150-2014,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,65772,20140915,20130722,11735-3834,Voluntary: Firm initiated,Terminated,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,"48,168 units",17285 09/19   18067 03/20   18205 08/20   18067 3/20,20191115,U.S.A. Nationwide,NY,"CVS Health Lubricant Eye Drops Advanced Relief, Item#: 563419, Product Size: 10 mL, Distributed by: CVS Pharmacy, Inc. One CVS Drive, Woonsocket, RI 02895",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0404-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,24144 units,16256 09/19  17194 7/20,20191115,U.S.A. Nationwide,NY,"TRP Blur Relief, 15 mL, NDC 17312-002-11",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0469-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,90072 units,18095 4/20,20191115,U.S.A. Nationwide,NY,"Accutome Rx Accu-WASH, 4 FL OZ (118 mL), Manufactured for Accutome Inc 3222 Phoenixville Pike Malvern, PA 19355 USA Mfd. By: Altaire Pharmaceuticals, Inc. Aquebogue, NY 11931,  NDC 63448-411-04",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0458-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Hauppauge,40 & 60 Arkay Drive,"Incorrect/Undeclared Excipients: The firm recalled specific lots of Walgreens brand Aspirin Free Tension Headache Caplets due to the presence of sucralose, which was not declared on the label.",,"9,379 bottles","Lot Number P78221, expiration date 05/14;   Lot Number P78222, expiration date 05/14",20141223,Nationwide,NY,"Walgreens ASPIRIN FREE TENSION HEADACHE, Pain Reliever/Pain Reliever Aid, Acetaminophen & Caffeine, 100 Coated Caplets, OTC ---  Distributed by: Walgreen Co. 200 Wilmot Rd., Deerfield, IL 60015, Item # 427594, NDC 0363-0428-12, UPC Code 311917134925",20141231,Class II,"LNK International, Inc.",D-0319-2015,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,62613,20141223,20120718,11788-3708,Voluntary: Firm initiated,Terminated,
United States,Brookhaven,50 Horseblock Rd,CGMP Deviations: FDA analysis detected N-Nitrosodimethylamine (NDMA) impurity above the acceptable intake level,,,AM181337A 10/31/2020  AM181338A 10/31/2020  AM181339A 11/30/2020  AM181340A 11/30/2020  AM181341A 11/30/2020  AM181342A 11/30/2020  AM181343A 11/30/2020  AM181344A 11/30/2020  AM181356A 11/30/2020  AM181357A 11/30/2020  AM181358A 11/30/2020  AM181359A 11/30/2020  AM181360A 11/30/2020  AM181361A 11/30/2020  AM181362A 11/30/2020  AM181363A 11/30/2020  AM181415A 11/30/2020  AM190040B 12/31/2020  AM190041A 12/31/2020  AM190042A 12/31/2020  AM190043A 12/31/2020  AM190044A 12/31/2020  AM190045A 12/31/2020  AM190046A 12/31/2020  AM190473B 4/30/2021  AM190474A 4/30/2021  AM190475A 4/30/2021  AM190476A 4/30/2021  AM190477A 4/30/2021  AM190478A 4/30/2021  AM190479A 4/30/2021  AM190480A 4/30/2021  AM190481A 4/30/2021  AM190482A 4/30/2021  AM190834A 7/31/2021  AM190835A 7/31/2021  AM190836A 7/31/2021  AM190837A 7/31/2021  AM190838A 7/31/2021  AM191004A 8/31/2021  AM191005A 8/31/2021  AM191006A 8/31/2021  AM191007A 8/31/2021  AM191008A 9/30/2021  AM191271A 10/31/2021  AM191272A 10/31/2021  AM191273A 10/31/2021  AM191274A 10/31/2021  AM191338A 11/30/2021  AM191339A 11/30/2021  AM191340A 11/30/2021  AM191341 12/31/2021  AM191342 12/31/2021  AM200109 12/31/2021  AM200110 12/31/2021  AM200111 12/31/2021,20200625,Nationwide,NY,"amneal Metformin Hydrochloride Extended-Release Tablets, USP, 750 mg, Rx only, 100 Tablets bottles, Manufactured by: Amneal Pharmaceuticals Pvt. Ltd. Ahmedabad, 388213, INDIA Distributed by: Amneal Pharmaceuticals LLC Bridgewater, NJ 08807   NDC 65162-179-10",20200701,Class II,"Amneal Pharmaceuticals of New York, LLC",D-1349-2020,Press Release,Drugs,85781,,20200529,11719-9509,Voluntary: Firm initiated,Ongoing,
United States,Farmingdale,7 Michael Ave,CGMP Deviations: Various strengths of ibuprofen tablets/caplets are being recalled due to complaints of odor related to CGMP deficiencies.,,,"a) C139C, C140C, exp 2/18, F044C, exp 8/18;     b)   D048C,   D049C,   D050C,   D051C,   C142C,   C137C,   C138C,   C139C,  C141C, exp 2/18;   D052C,   K207C,   K208C,   K209C,   K210C,   K211C,   K212C,   HM6122,   HM6123,   HM6124,   HM6125,   HM6126,   K109C,   K110C,   K111C,   HM6113,   HM6114,   HM6115,   HM6116,   HM6117,   HM6118,   F044C,   H097C,   H098C,   H099C,   H100C,   H101C,   K096C,   K097C,   K098C,   K099C,   K100C,   K101C,   K102C, exp 8/18;   M105C,   L017C,   L018C,   L019C,   L020C,   L021C,   L022C, exp 9/18",20180422,Nationwide.,NY,"Ibuprofen Tablets USP 800 mg, a) 100 tablet (NDC 49483-604-01) and b) 500 tablet (NDC 49483-604-50) bottles, Rx, Manufactured for: Time Cap labs, Inc., Farmingdale, NY 11735, USA, Manufactured by: Marksans Pharma, Ltd., Verna, Goa-403 722, India",20180502,Class II,"Time-Cap Laboratories, Inc.",D-0692-2018,Letter,Drugs,79349,20210120,20180111,11735-3921,Voluntary: Firm initiated,Terminated,
United States,Hauppauge,"Suite # 401, 4th Floor",CGMP Deviations: Various strengths of ibuprofen tablets/caplets are being recalled due to complaints of odor related to CGMP deficiencies.,"Room No. 430, 150 Motor Parkway","23,088,900 tablets","Lot #: HN6004, HN6005, HN6006, HN6007, HN6008, HN6009, HN6010, HN6011, HN6012, HN6013, HN6014, Exp 03/18; HN6015, HN6016, HN6017, HN6018, HN6019, HN6020, HN6021, HN6022, HN6023, Exp 04/18; HN6024, Exp 07/18; HN6025, HN6026, HN6027, Exp 09/18",20180124,Distributed to repackaging firms in NY who then distributed Nationwide in the USA.,NY,"Ibuprofen Tablets, USP 600 mg, 6 x 2500 Tablets bulk packed in double polybag shipper packs for further packaging, Rx only, Manufactured by: Marksans Pharma Ltd., Plot No. L-82, L-83, Verna Indl. Estate, Verna, Goa - 403 722, India, NDC 25000-122-28.",20180131,Class II,Marksans Pharma Inc.,D-0239-2018,Letter,Drugs,78822,20200526,20180109,11788,Voluntary: Firm initiated,Terminated,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,81403 units,17186    6/20        17345    11/20        19010    1/22      17041     2/2020      16217    8/19,20191115,U.S.A. Nationwide,NY,"OCuSOFT Homatropine Hydrobromide Ophthalmic Solution, 5%, 5 mL, Rx only, Manufactured for Ocusoft, Inc, Rosenberg, TX 77471, Mfd. by Altaire Pharmaceuticals, Inc, Aquebogue, NY 11931 NDC 54799-431-05",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0440-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,"114,504 units",Lot #: RGF 07/19  RHN 08/19  RIH 09/19  RJP 10/19  RKN 11/19  SDC 04/20  SFC 06/20  SFJ 06/20  SGI 07/20  SKF 11/20  TAE 01/21,20191115,U.S.A. Nationwide,NY,"CVS Health Preservative Free Lubricant Eye Drops (Carboxymethylcellulose Sodium 0.5% Glycerin 0.9%) Sensitive Solution, 30 Sterile Single-Use Containers, 0.02 fl. oz. (0.6 mL) each, Item #994883, Distributed by: CVS Pharmacy Inc., One CVS Drive, Woonsocket, RI 02895, UPC 0 50428 39945 3",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0379-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,24 units,19123 4/21,20191115,U.S.A. Nationwide,NY,"iSolutions Nano Tears TF Clear Emollient Lubricant Gel Drops Preservative Free Multi-Dose Mild Dry Eye Therapy, 0.25 FL OZ (7.5 mL), Mfd. By: by Altaire Pharmaceuticals, Inc. Aquebogue, NY 11931, NDC 59390-141-52",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0430-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Hauppauge,55 Arkay Dr,Microbial contamination of non-sterile product,,"P300456, P300475 and P300489 (Total - 13,500 liters) and P300482 - 3,600 liter","Lot #: P300456, P300475,P300482, P300489, Exp 09/30/2020",20190806,USA Nationwide,NY,"Equate Night-time Sleep Aide (Diphenhydramine HCl), 50 mg, Alcohol Free, Berry Flavor, 12 Fl. Oz. (354 mL), OTC, Distributed by: Walmart Stores, Inc., Bentonville, AR 72716, NDC 49035-330-02, UPC 6 8113117595 1",20190807,Class II,"LNK International, Inc.",D-1630-2019,Letter,Drugs,83315,,20190710,11788-3707,Voluntary: Firm initiated,Ongoing,
United States,Melville,105 Baylis Rd,Crystallization; complaints received by the manufacturer of crystals forming in product,,"6,310 tubes Total (3,224 tubes/5 oz & 3,086 tubes/9oz)","Lot #'s: a) 8160, b) 8160  Exp Date: 9/2018",20160823,Nationwide,NY,"Urea (50% Urea in a Cream Base), a) Net Wt. 5 oz (142 g), (NDC 42808-0200-05) b) Net Wt. 9 oz (225 g) (NDC 42808-0200-09), Rx Only, Manufactured in the U.S.A. for Exact-Rx Inc., Melville, NY",20160831,Class III,Exact-Rx Inc,D-1465-2016,E-Mail,Drugs,74744,20180614,20160602,11747-3833,Voluntary: Firm initiated,Terminated,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,"17,613 units","Lot #: 17290, Exp 09/19; 19011, Exp 01/21; 18052, Exp 02/20; 18266, Exp 10/20; 18178, Exp07/20; 17385, Exp 12/19",20191115,U.S.A. Nationwide,NY,"Equate Support Harmony Lubricant Eye Drops, Restores Tears, 0.33 Fl. oz. (10 mL), Distributed by: Walmart Stores, Inc., Bentonville, AR 72716, NDC 49035-145-10  (Note: Support Harmony packaging was discontinued in January 2018.)",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0372-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,49527 units,17225 07/19  17247 08/19  18038 02/20  18162 06/20  19014 01/21,20191115,U.S.A. Nationwide,NY,"Altaire Diclofenac Sodium Opthalmic Solution, 0.1%, 5 mL, Rx only, Manufactured Altaire Pharmaceuticals, NDC 59390-149-05",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0461-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,"531,936 units",Lot #: 17215 07/19  17239 08/19  18081 03/21  18207 08/20  18274 11/21,20191115,U.S.A. Nationwide,NY,"CVS Health Dry Eye Relief Lubricant Eye Drops, Sterile, 0.5 Fl. Oz. (15 mL), Item #317914,  Distributed by: CVS Pharmacy, Inc., One CVS Drive, Woonsocket, RI 02895",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0376-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,"12,716 units",17366 12/19   18103 /20   18173 7/20,20191115,U.S.A. Nationwide,NY,"iSolutions Nano Tears XP Clear Emollient Lubricant Gel Drops Moderate Sterile, 1/3 FL OZ (10 mL), Mfd.  By: Altaire Pharmaceuticals, Inc. Aquebogue, NY 11931, NDC 59390-143-10",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0435-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,161077 units,RJH 10/20 1/10/2018   RLL 12/20 8/22/2018   SGH 07/21 8/23/2018   SIF 09/21 10/16/2018   SKC 11/21 12/12/2018   TCG 03/22,20191115,U.S.A. Nationwide,NY,"ActivEyes Sterile Altalube Ointment, Net Wt 1/8 oz (3.5g), NDC 59390-198-50",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0418-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Central Islip,400 S Technology Dr,Product Mix-up,,9744 bottles,"Lot #: 21070817, Exp 6/2023",20211207,USA Nationwide,NY,"Hydrocodone Bitartrate and Acetaminophen Tablets, USP 10 mg/325 mg, 100-count bottle, Rx only, Manufactured for: Camber Pharmaceuticals, Inc. Piscataway, NJ 08854, Manufactured by: Ascent Pharmaceuticals, Inc., Central Islip, NY 11722, NDC 31722-997-01.",20211215,Class II,"Ascent Pharmaceuticals, Inc.",D-0276-2022,Letter,Drugs,89060,,20211119,11722-4402,Voluntary: Firm initiated,Ongoing,
United States,Deer Park,75 N Industry Ct,Superpotent Drug: High out of specification results for assay at the 6 month time point interval.,,a) 9816 bottles; b) 9648 bottles,"Lot #: 5C344105, Exp 02/17",20160517,Nationwide,NY,"col-rite (docusate sodium) stool softener softgels, 50 mg, packaged in a) 30-count, item 351104, UPC 0 11822 51104 9; and b) 60-count, item 357392, UPC 0 11822 57392 4; DISTRIBUTED BY: RITE AID, 30 HUNTER LANE, CAMP HILL , PA 17011.",20160525,Class III,Allegiant Health,D-0856-2016,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,73569,20180606,20160229,11729-4601,Voluntary: Firm initiated,Terminated,
United States,Aquebogue,311 W Ln,Lack of Assurance of Sterility,PO Box 849,1537130 units,"Lot #: SKG,Exp  08/21; SHK, Exp 08/21; SHJ, Exp 08/21; SEC, Exp 05/21; SCB, Exp 03/21; SBC, Exp 02/21; RLB, Exp 12/20; RBB, Exp 02/20; RHR, Exp 08/20; RFK, Exp 06/20; RAB, Exp 01/20; TAD, Exp 01/22; TAQ, Exp 01/22; TBI, Exp 02/22; TDB, Exp 04/22; QHE, Exp 08/19; QJD, Exp 10/19; SGE, Exp 07/21",20191115,U.S.A. Nationwide,NY,"Equate Restore PM Nighttime Lubricant Eye Ointment, Sterile, Net Wt. 0.125 oz. (3.5g), Distributed by: Walmart Stores Inc., Bentonville, AR 72716, W-M item #551282425, NDC 49035-191-50",20191127,Class II,"Altaire Pharmaceuticals, Inc.",D-0367-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Drugs,83265,,20190702,11931-0849,Voluntary: Firm initiated,Ongoing,
United States,Hauppauge,7 Oser Ave,Subpotent Drug: One lot of product does not meet the product specification for Assay test at 3 month  long term stability condition.,,2880 bottles,"Lot #: GG80218, Exp. 12/2019",20181011,Nationwide with the United States,NY,"Amlodipine Besylate USP 10 mg Tablets, 1000-count bottles, Rx Only, Manufactured by: Cipla Ltd., Verna Goa, India, Manufactured for: Cipla USA, Inc. 1560 Sawgrass Corporate Parkway, Suite 130, Sunrise FL 33323  UPC 369097128159, NDC 69097-128-15",20181017,Class III,"InvaGen Pharmaceuticals, Inc.",D-0012-2019,Letter,Drugs,81099,20210713,20181003,11788-3811,Voluntary: Firm initiated,Terminated,
