country,city,address_1,reason_for_recall,address_2,product_quantity,code_info,center_classification_date,distribution_pattern,state,product_description,report_date,classification,recalling_firm,recall_number,initial_firm_notification,product_type,event_id,termination_date,more_code_info,recall_initiation_date,postal_code,voluntary_mandated,status
United States,Hauppauge,89 Cabot Ct Ste F,"Item is marketed for use in patients weighing up to 350 lbs, but the device was only approved for use in patients up to 300 lbs",,36 units,"Serial Numbers: 005, 006, 011, 017, 019, 0701101, 07071003, 07071004, 08031005, 08081006, 08091007, 09061009, 09091010, 09101011, 09101012, 10021014, 10031015, 10091017, 10121019, 11051020, 11061021, 11071022, 11091023, 12011026, 12081028, 13021028, 12091029, 12091030, 12121032, 13011033, 13101034, 13071037, 13031035, 14011038, 14041036 and 14061038",20150605,"Worldwide Distribution - US including CA, FL, NJ, TX, WA,  Internationally: Korea, Russia, Kuwait, Canada, Greece, Lebanon, Turkey, Egypt, Saudi Arabia, China, Armenia, Azerbaijan, Australia.",NY,"Extentrac Elite product brochure DCN: 13-001, 09-001 (Powered decompression table, for traction)",20150617,Class II,"Advanced Back Technologies, Inc.",Z-1717-2015,E-Mail,Devices,71058,20180523,,20150513,11788-3719,Voluntary: Firm initiated,Terminated
United States,Medford,3661 Horseblock Rd,FDA revocation of the Emergency Use Authorization due to performance issues,,126 kits,Lot Numbers:  83716171  83720151  83720153,20200814,Nationwide,NY,"Chembio DPP¿ Micro Reader for use with the DPP¿ COVID-19 IgM/IgG System- Rapid immunochromatographic test for the qualitative detection and differentiation of Immunoglobulin M (IgM) and Immunoglobulin G (IgG) antibodies to SARS-CoV-2 in fingerstick whole blood, venous whole blood, serum, or plasma (lithium heparin or EDTA. Model Number: 70-1069-0",20200826,Class II,"Chembio Diagnostics, Inc",Z-2808-2020,E-Mail,Devices,86098,20210811,,20200618,11763-2215,Voluntary: Firm initiated,Terminated
United States,Hauppauge,75 Arkay Dr,BD SafetyGlide Needle 22GA 1-1/2 inch may contain the presence of loose polyprophylene foreign matter above release specification.,,1037 in total,Lot Numbers/Expiration Dates:  1) 1710206/Expiration Date: 05/30/2022;  2) 1710040/Expiration Date: 01/30/2022;   3) 1610536/Expiration Date: 12/30/2021;   4) 1610423/No Expiration Date;  5) 1610351/No Expiration Date;  6) 1610219/No Expiration Date;   7) 1610090/No Expiration Date,20180206,US Nationwide Distribution,NY,"Lumbar Puncture Tray, Catalog # 1862    Product Usage:  Surgical procedure",20180214,Class II,Robert Busse & Co. Inc. d.b.a. Busse Hospital Disposables,Z-0545-2018,Letter,Devices,78950,20200727,,20170627,11788-3707,Voluntary: Firm initiated,Terminated
United States,Port Washington,99 Seaview Blvd Fl 2,Tip crutch failure involving the bottom of the metal portion which comes in contact with ground,,"123,125 pairs","Item #: 1) RTL 10400, 2) RTL 10402",20160630,Nationwide Distribution,NY,"Universal Quick Adjust under the following labels: 1) Aluminum crutch, adult, 1 pair per case, 2) Aluminum crutch, tall adult, 1 pair per case    Aid the user in walking while relieving weight from one foot or leg.",20160706,Class II,Medical Depot Inc.,Z-2105-2016,Letter,Devices,73918,20180613,,20160217,11050-4606,Voluntary: Firm initiated,Terminated
United States,Oyster Bay,21 Singworth St,The device is used as part of extracorporeal membrane oxygenation (ECMO) cardiopulmonary bypass circuits and may collapse during use which can increase resistance to flow in the venous line and cause a drop in circuit blood flow.,,410,"**Recall expanded to add these models: BBB38, Lot Number: 5300-S19813; BBB38NS, Lot Number: 1707-1 and 170903",20180323,"**Requested update** Distributed in 19 states: AL, AR, CA, FL, GA, IL, IN, KY, MD, MO, NJ, NY, OH, OR, PA, TN, TX, VA, WA, and the District of Columbia.",NY,"**Recall Expanded to add these models: Bigger Better-Bladder cardiopulmonary bypass blood reservoir; Models: BBB38 (individual, sterile, pouched) and BBB38NS (sold bulk to kit manufacturers)",20180307,Class II,Circulatory Technology Inc,Z-1171-2018,E-Mail,Devices,79196,20200520,,20170922,11771-3703,Voluntary: Firm initiated,Terminated
United States,Medford,3661 Horseblock Rd,FDA revocation of the Emergency Use Authorization due to performance issues,,"7,674 kits (153,480 devices)",Lot Numbers:  CV041020/A  CV041520  CV040220/A1  CV042420  CV042920  CV040320/A2  CV050120,20200814,Nationwide,NY,"Chembio DPP COVID-19 IgM/IgG System- Rrapid immunochromatographic test for the qualitative detection and differentiation of Immunoglobulin M (IgM) and Immunoglobulin G (IgG) antibodies to SARS-CoV-2 in fingerstick whole blood, venous whole blood, serum, or plasma (lithium heparin or EDTA. Model Number: 65-9569-0",20200826,Class II,"Chembio Diagnostics, Inc",Z-2807-2020,E-Mail,Devices,86098,20210811,,20200618,11763-2215,Voluntary: Firm initiated,Terminated
United States,Hauppauge,75 Arkay Dr,BD SafetyGlide Needle 22GA 1-1/2 inch may contain the presence of loose polyprophylene foreign matter above release specification.,,28 cases,Lot Numbers/Expiration Dates:  1) 1610197/Expiration Date: 12/01/2018;  2) 1610277/Expiration Date: 03/01/2019,20180206,US Nationwide Distribution,NY,"Safety-Deluxe Basic Soft Tissue Biopsy Tray without Biopsy Needle, Catalog # 977    Product Usage:  Surgical procedure",20180214,Class II,Robert Busse & Co. Inc. d.b.a. Busse Hospital Disposables,Z-0541-2018,Letter,Devices,78950,20200727,,20170627,11788-3707,Voluntary: Firm initiated,Terminated
United States,Hauppauge,75 Arkay Dr,BD SafetyGlide Needle 22GA 1-1/2 inch may contain the presence of loose polyprophylene foreign matter above release specification.,,5 cases,Lot Numbers/Expiration Dates:  1) 1720047/Expiration Date: 02/20/2018,20180206,US Nationwide Distribution,NY,"Safety Deluxe Bone Marrow Biopsy/ Aspiration Tray with Biopsy Needle and Aspiration Needle Sterile, Catalog # 985    Product Usage:  Surgical procedure",20180214,Class II,Robert Busse & Co. Inc. d.b.a. Busse Hospital Disposables,Z-0543-2018,Letter,Devices,78950,20200727,,20170627,11788-3707,Voluntary: Firm initiated,Terminated
United States,Holtsville,1 Motorola Plz,It was discovered the CS3000/CS3070  was manufactured using the laser power settings for a Class 2 laser device instead of the Class 1 power levels as specified on the product label.,,"16,961 units domestically",Motorola Solutions  PCS3000/CS3070 Laser,20130130,Nationwide distribution,NY,Motorola Solutions  PCS3000/CS3070 Laser    Utility/Peripheral Laser Products,20130206,Class II,Motorola Inc,Z-0516-2013,Letter,Devices,61870,20180629,,20120427,11742-1300,Voluntary: Firm initiated,Terminated
United States,Hauppauge,75 Arkay Dr,BD SafetyGlide Needle 22GA 1-1/2 inch may contain the presence of loose polyprophylene foreign matter above release specification.,,82 cases,Lot Numbers/Expiration Dates:  1) 1610197/Expiration Date: 12/01/2018;   2) 1610204/Expiration Date: 02/01/2019;  3) 1610075/Expiration Date: 06/01/2018;  4) 1610431/Expiration Date: 05/30/2019;  5) 1610246/Expiration Date: 02/01/2019;  6) 1610204/Expiration Date: 02/01/2019,20180206,US Nationwide Distribution,NY,"Safety-Deluxe Lumbar Puncture Tray, Catalog # 975    Product Usage:  Surgical procedure",20180214,Class II,Robert Busse & Co. Inc. d.b.a. Busse Hospital Disposables,Z-0542-2018,Letter,Devices,78950,20200727,,20170627,11788-3707,Voluntary: Firm initiated,Terminated
United States,Edgewood,180 Heartland Blvd,CONSULT diagnostics hCG Controls have discrepant storage temperatures listed on the kit labels when compared with the individual vial labels and the package insert.,,"Domestic: 4,473 kits","Lot/Codes: KN165 (exp. 2017-09), KN169 (exp. 2017-10), KN171 (exp. 2017-11) and KN177 (exp. 2018-02)",20151123,US Nationwide Distribution,NY,"CONSULT(TM) diagnostics hCG CONTROLS Kit, Part/Reorder Number 5011, IVD    Product Usage - CONSULT Diagnostics hCG Controls are intended to validate the performance of qualitative hCG urine procedures and immunochromatographic devices.",20151202,Class III,Biochemical Diagnostics Inc,Z-0328-2016,Letter,Devices,72197,20160126,,20150914,11717-8314,Voluntary: Firm initiated,Terminated
United States,Hauppauge,75 Arkay Dr,Covidien issued a labeling update for the Covidien Devon Light Gloves.  Busse had incorporated the affected gloves in several kits and distributed them prior to receipt of the recall notification.,,US: 35 cases,"Lot Number 1230323, Exp. Date December 2016;   Lot Number 1230387, Exp. Date December 2016;   Lot Number 1231616, Exp. Date December 2016",20161222,"PA, FL, VA",NY,"BREAST PACK, Surgical Instrument Tray, REF/Catalog No. 5406, STERILE, Rx Only -- busse Hospital Disposables Hauppauge, NY --- Device Listing # E193298.",20161228,Class II,Robert Busse & Co. Inc. d.b.a. Busse Hospital Disposables,Z-0895-2017,Letter,Devices,75746,20180621,,20161115,11788-3707,Voluntary: Firm initiated,Terminated
United States,Hicksville,400 Karin Ln,"Mislabeling of the ""expiration date"".  The expiration date on the outer box and the individual pouches do not match.  The expiration date on the box is correct with a date of 2018-02.",,"370 boxes (US - 159 boxes, OUS - 211 boxes)","Lot Numbers 45572 (Box), (Individual packages) 48543, 50382, 48543, 50704, 50858  Exp Date - 2018-02",20161213,"Worldwide Distribution - US including CA, FL, MA, MD, MI, MN, MS, OH, PA, VA, TX & WV; **International**Australia, Bangladesh, Greece, Italy, Japan, Lebanon, Russian Federation, Singapore, Spain & Vietman.",NY,"ellman A CYNOSURE COMPANY Minor Surgery Bipolar Cable, Contents: Five (5) Disposable Bipolar Cables,STERILE  The Minor Surgery Bipolar Cable is an accessory that is used to connect the bipolar handpieces to the RF generator for electrosurgical procedures that require the bipolar waveform.",20161221,Class II,"Ellman International, Inc.",Z-0748-2017,Letter,Devices,75351,20180618,,20160907,11801-5352,Voluntary: Firm initiated,Terminated
United States,Port Washington,99 Seaview Blvd Fl 2,Tip crutch failure involving the bottom of the metal portion which comes in contact with ground,,"123,125 pairs","Item #.: 1) 10400-1, 2) 10400-8, 3) 10401-1, 4) 10401-8, 5) 10402-1 & 6) 10402-8",20160630,Nationwide Distribution,NY,"Aluminum crutch under the following labels: 1) Aluminum crutch, adult, 1 pair per case, 2) Aluminum crutch, adult, 8 pairs per case, 3) Aluminum crutch, youth, 1 pair per case, 4) Aluminum crutch 8 pairs per case, 5) Aluminum crutch, tall adult, 1 pair per case & 6) Aluminum crutch, tall adult, 8 pairs per case",20160706,Class II,Medical Depot Inc.,Z-2101-2016,Letter,Devices,73918,20180613,,20160217,11050-4606,Voluntary: Firm initiated,Terminated
United States,Port Washington,99 Seaview Blvd Fl 2,Tip crutch failure involving the bottom of the metal portion which comes in contact with ground,,"123,125 pairs","Item #: 1) 10430-1, 2) 10430-8, 3) 10431-1, 4) 10431-8, 5) 10432-1 & 6) 10432-8",20160630,Nationwide Distribution,NY,"EZ adjust aluminum crutch under the following labels: 1) EZ adjust aluminum crutch, adult, 1 pair per case, 2) EZ adjust aluminum crutch, adult, 8 pairs per case, 3) EZ adjust aluminum crutch, youth, 1 pair per case, 4) EZ adjust aluminum crutch, youth, 8 pairs per case, 5) EZ adjust aluminum crutch, tall adult, 1 pair per case & 6) EZ adjust aluminum crutch, tall adult, 8 pairs per case",20160706,Class II,Medical Depot Inc.,Z-2102-2016,Letter,Devices,73918,20180613,,20160217,11050-4606,Voluntary: Firm initiated,Terminated
United States,Medford,3661 Horseblock Rd,FDA revocation of the Emergency Use Authorization due to performance issues,,97 kits,Lot Numbers:  96820051  96820052  96820181  96820191  96820201,20200814,Nationwide,NY,"Chembio DPP¿ Micro Reader II for use with the DPP¿ COVID-19 IgM/IgG System- Rapid immunochromatographic test for the qualitative detection and differentiation of Immunoglobulin M (IgM) and Immunoglobulin G (IgG) antibodies to SARS-CoV-2 in fingerstick whole blood, venous whole blood, serum, or plasma (lithium heparin or EDTA. Model Number: 70-1070-0",20200826,Class II,"Chembio Diagnostics, Inc",Z-2809-2020,E-Mail,Devices,86098,20210811,,20200618,11763-2215,Voluntary: Firm initiated,Terminated
United States,Oyster Bay,21 Singworth St,The device is used as part of extracorporeal membrane oxygenation (ECMO) cardiopulmonary bypass circuits and may collapse during use which can increase resistance to flow in the venous line and cause a drop in circuit blood flow.,,840,"**Recall expanded to add additional lot numbers highlighted with ""**"": BB14 Lot Numbers: 5290-S19785, 5290-S19786, 5290-S19872, **5290-S19925; BB14NS Lot Numbers: 17062201, 17062202, 17062203, and **170905",20180323,"**Requested update** Distributed in 19 states: AL, AR, CA, FL, GA, IL, IN, KY, MD, MO, NJ, NY, OH, OR, PA, TN, TX, VA, WA, and the District of Columbia.",NY,"Better-Bladder cardiopulmonary bypass blood reservoir; Models: BB14 (individual, sterile, pouched) and BB14NS (sold bulk to kit manufacturers)",20180307,Class II,Circulatory Technology Inc,Z-0817-2018,E-Mail,Devices,79196,20200520,,20170922,11771-3703,Voluntary: Firm initiated,Terminated
United States,Hauppauge,75 Arkay Dr,BD SafetyGlide Needle 22GA 1-1/2 inch may contain the presence of loose polyprophylene foreign matter above release specification.,,75 cases,Lot Numbers/Expiration Dates:  1) 1730650/Expiration Date: 10/30/2021;   2) 1630921/Expiration Date: 11/02/2020;   3) 1631124/Expiration Date: 10/30/2020;  4) 1631386/Expiration Date: 05/30/2021;   5) 1631679/Expiration Date:  05/30/2021,20180206,US Nationwide Distribution,NY,"Laceration Tray, Catalog # 1892R1    Product Usage:  Surgical procedure",20180214,Class II,Robert Busse & Co. Inc. d.b.a. Busse Hospital Disposables,Z-0544-2018,Letter,Devices,78950,20200727,,20170627,11788-3707,Voluntary: Firm initiated,Terminated
